name value weight group
f_piez_FP007t64537200.0 418.00925 20 f_piez_FP007
f_piez_FP007t64540800.0 418.00992 20 f_piez_FP007
f_piez_FP007t64544400.0 418.00967 20 f_piez_FP007
f_piez_FP007t64548000.0 418.01242 20 f_piez_FP007
f_piez_FP007t64551600.0 418.00958 20 f_piez_FP007
f_piez_FP007t64555200.0 418.01408 20 f_piez_FP007
f_piez_FP007t64558800.0 418.00742 20 f_piez_FP007
f_piez_FP007t64562400.0 418.00667 20 f_piez_FP007
f_piez_FP007t64566000.0 418.00858 20 f_piez_FP007
f_piez_FP007t64569600.0 418.00967 20 f_piez_FP007
f_piez_FP007t64573200.0 418.00383 20 f_piez_FP007
f_piez_FP007t64576800.0 417.99783 20 f_piez_FP007
f_piez_FP007t64580400.0 417.99567 20 f_piez_FP007
f_piez_FP007t64584000.0 417.9885 20 f_piez_FP007
f_piez_FP007t64587600.0 417.98817 20 f_piez_FP007
f_piez_FP007t64591200.0 417.98633 20 f_piez_FP007
f_piez_FP007t64594800.0 417.979 20 f_piez_FP007
f_piez_FP007t64598400.0 417.979 20 f_piez_FP007
f_piez_FP007t64602000.0 417.97808 20 f_piez_FP007
f_piez_FP007t64605600.0 417.97608 20 f_piez_FP007
f_piez_FP007t64609200.0 417.96892 20 f_piez_FP007
f_piez_FP007t64612800.0 417.96483 20 f_piez_FP007
f_piez_FP007t64616400.0 417.95317 20 f_piez_FP007
f_piez_FP007t64620000.0 417.95008 20 f_piez_FP007
f_piez_FP007t64623600.0 417.94075 20 f_piez_FP007
f_piez_FP007t64627200.0 417.93233 20 f_piez_FP007
f_piez_FP007t64630800.0 417.92708 20 f_piez_FP007
f_piez_FP007t64634400.0 417.9195 20 f_piez_FP007
f_piez_FP007t64638000.0 417.91058 20 f_piez_FP007
f_piez_FP007t64641600.0 417.906 20 f_piez_FP007
f_piez_FP007t64645200.0 417.89517 20 f_piez_FP007
f_piez_FP007t64648800.0 417.88983 20 f_piez_FP007
f_piez_FP007t64652400.0 417.88225 20 f_piez_FP007
f_piez_FP007t64656000.0 417.87117 20 f_piez_FP007
f_piez_FP007t64659600.0 417.86033 20 f_piez_FP007
f_piez_FP007t64663200.0 417.8465 20 f_piez_FP007
f_piez_FP007t64666800.0 417.83917 20 f_piez_FP007
f_piez_FP007t64670400.0 417.829 20 f_piez_FP007
f_piez_FP007t64674000.0 417.82008 20 f_piez_FP007
f_piez_FP007t64677600.0 417.81108 20 f_piez_FP007
f_piez_FP007t64681200.0 417.80175 20 f_piez_FP007
f_piez_FP007t64684800.0 417.78708 20 f_piez_FP007
f_piez_FP007t64688400.0 417.77867 20 f_piez_FP007
f_piez_FP007t64692000.0 417.76725 20 f_piez_FP007
