name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR04C38,2.30103,0.5,1.30103,3.30103,2.30103,0.49991,1.30121,3.30085
KR04C39,2.30103,0.5,1.30103,3.30103,2.30103,0.49991,1.30121,3.30085
KR04C40,2.30103,0.5,1.30103,3.30103,2.30103,0.499923,1.30118,3.30088
KR04C41,2.30103,0.5,1.30103,3.30103,2.30103,0.499907,1.30122,3.30084
KR04C42,2.30103,0.5,1.30103,3.30103,2.30103,0.499882,1.30127,3.30079
KR04C43,2.30103,0.5,1.30103,3.30103,2.30103,0.499881,1.30127,3.30079
KR04C44,2.30103,0.5,1.30103,3.30103,2.30103,0.499881,1.30127,3.30079
KR04C45,2.30103,0.5,1.30103,3.30103,2.30103,0.499898,1.30123,3.30083
KR04C46,2.30103,0.5,1.30103,3.30103,2.30103,0.499891,1.30125,3.30081
KR04C47,2.30103,0.5,1.30103,3.30103,2.30103,0.499869,1.30129,3.30077
KR04C48,2.30103,0.5,1.30103,3.30103,2.30103,0.499872,1.30129,3.30077
KR04C49,2.30103,0.5,1.30103,3.30103,2.30103,0.499876,1.30128,3.30078
KR04C50,2.30103,0.5,1.30103,3.30103,2.30103,0.499898,1.30123,3.30083
KR04C51,2.30103,0.5,1.30103,3.30103,2.30103,0.499902,1.30123,3.30083
KR04C52,2.30103,0.5,1.30103,3.30103,2.30103,0.49987,1.30129,3.30077
KR04C53,2.30103,0.5,1.30103,3.30103,2.30103,0.49983,1.30137,3.30069
KR04C54,2.30103,0.5,1.30103,3.30103,2.30103,0.499718,1.30159,3.30047
KR04C55,2.30103,0.5,1.30103,3.30103,2.30103,0.499505,1.30202,3.30004
KR04C56,2.30103,0.5,1.30103,3.30103,2.30103,0.499228,1.30257,3.29949
KR04C57,2.30103,0.5,1.30103,3.30103,2.30103,0.498921,1.30319,3.29887
KR04C58,2.30103,0.5,1.30103,3.30103,2.30103,0.498773,1.30348,3.29858
KR04C59,2.30103,0.5,1.30103,3.30103,2.30103,0.498793,1.30344,3.29862
KR04C60,2.30103,0.5,1.30103,3.30103,2.30103,0.499459,1.30211,3.29995
KR05C01,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C02,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C04,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C05,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C06,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C07,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C08,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C09,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C10,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C11,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
