name,x,y,z,mean_kh,sd_kh,major,transverse,normal,anisotropy,bearing,dip,layer
192_1,1678261.349876935,5405076.670174828,0.5,0.090424,0.1,5000,166.6666667,5,30,105,0.01,1
192_2,1678358.563265986,5408696.633442617,0.5,0.011308400000000001,0.1,5000,166.6666667,5,30,96,0.01,1
192_3,1678696.2823684406,5406784.756159851,0.5,0.07856971,0.1,5000,166.6666667,5,30,125,0.01,1
192_4,1679114.9848291047,5410451.531469053,0.5,0.2243556,0.1,5000,166.6666667,5,30,80,0.01,1
192_5,1677295.7268201346,5403403.355,2,0.04426689,0.1,5000,166.6666667,5,30,55,0.01,2
192_6,1678261.349876935,5405076.670174828,2,0.04535123,0.1,5000,166.6666667,5,30,105,0.01,2
192_7,1678358.563265986,5408696.633442617,2,0.18336110000000003,0.1,5000,166.6666667,5,30,96,0.01,2
192_8,1678696.2823684406,5406784.756159851,2,0.050934179999999996,0.1,5000,166.6666667,5,30,125,0.01,2
192_9,1679114.9848291047,5410451.531469053,2,0.0406928,0.1,5000,166.6666667,5,30,80,0.01,2
192_10,1677295.7268201346,5403403.355,5,0.3182975,0.1,5000,166.6666667,5,30,55,0.01,3
192_11,1678261.349876935,5405076.670174828,5,0.07899959,0.1,5000,166.6666667,5,30,105,0.01,3
192_12,1678358.563265986,5408696.633442617,5,0.04336194,0.1,5000,166.6666667,5,30,96,0.01,3
192_13,1678696.2823684406,5406784.756159851,5,0.03900355,0.1,5000,166.6666667,5,30,125,0.01,3
192_14,1679114.9848291047,5410451.531469053,5,0.1005167,0.1,5000,166.6666667,5,30,80,0.01,3
192_15,1677295.7268201346,5403403.355,10,0.008762581,0.1,5000,166.6666667,5,30,55,0.01,4
192_16,1678261.349876935,5405076.670174828,10,0.2001073,0.1,5000,166.6666667,5,30,105,0.01,4
192_17,1678358.563265986,5408696.633442617,10,0.4265958000000001,0.1,5000,166.6666667,5,30,96,0.01,4
192_18,1678696.2823684406,5406784.756159851,10,0.05264408,0.1,5000,166.6666667,5,30,125,0.01,4
192_19,1679114.9848291047,5410451.531469053,10,0.23231880000000002,0.1,5000,166.6666667,5,30,80,0.01,4
193_0,1685782.3285163667,5407974.430113734,0.5,0.02219368,0.5,5000,166.6666667,5,30,165,0.01,1
193_1,1685782.3285163667,5407974.430113734,1.9999999999999998,0.4305815,0.5,5000,166.6666667,5,30,165,0.01,2
193_2,1685782.3285163667,5407974.430113734,5,0.02815778,0.5,5000,166.6666667,5,30,165,0.01,3
193_3,1685782.3285163667,5407974.430113734,10.000000009999999,0.04013593,0.5,5000,166.6666667,5,30,165,0.01,4
193_4,1685782.3285163667,5407974.430113734,17.00000002,0.28666070000000005,0.5,5000,166.6666667,5,30,165,0.01,5
193_5,1685782.3285163667,5407974.430113734,26.00000002,0.4399343,0.5,5000,166.6666667,5,30,165,0.01,6
194_0,1682141.8850635602,5408148.837474274,0.5,0.1936082,0.5,5000,166.6666667,5,30,145,0.01,1
194_1,1682730.9262653994,5412470.112514353,0.5,0.07322867,0.5,5000,166.6666667,5,30,180,0.01,1
194_2,1684273.0683848127,5410294.0507750325,0.5,0.2378155,0.5,5000,166.6666667,5,30,169,0.01,1
194_3,1684409.3771350996,5406785.642836028,0.5,0.07978249,0.5,5000,166.6666667,5,30,120,0.01,1
194_4,1685170.7949142777,5413966.568,0.5,0.1180442,0.5,5000,166.6666667,5,30,185,0.01,1
194_5,1686991.3475219798,5416335.115318223,0.5,0.35556350000000003,0.5,5000,166.6666667,5,30,201,0.01,1
194_6,1687761.3048595898,5405362.573,0.5,0.02172317,0.5,5000,166.6666667,5,30,125,0.01,1
