name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_242,1923331,5607954,-10,680.47,137.2,940,3.7,49.1,1,62.2,300.67,1.13,5,1,300
manual_243,1923014,5608509,-10,460.88,200.78,1120,5.27,48.1,1,67,116.62,1.09,5,1,300
manual_244,1922538,5609277,-10,139.37,56.74,1420,4.25,68,1,7.5,116.62,0.63,5,1,300
manual_245,1921453,5609224,-10,125.35,81.91,620,4.9,73.5,1,60.4,172.05,2.15,5,1,300
manual_246,1921268,5609965,-10,364.76,246.94,740,3.17,132,1,11.7,80,0.52,5,1,300
manual_247,1928570,5610705,-10,1552.78,255.98,1500,8.5,103.4,1,45.7,0.1,3.39,5,1,300
manual_248,1927538,5610176,-10,2005.67,263.94,860,8.6,34.8,1,31.7,287.05,2.87,5,1,300
manual_249,1926401,5609885,-10,2309.96,57.92,1260,4.48,118,1,40.5,80,1.54,5,1,300
manual_250,1925210,5609568,-10,1171.47,285.78,1140,6.57,48,1,43.1,205.91,5.11,5,1,300
manual_251,1924390,5609806,-10,348.98,346.23,380,1.9,37.9,1,21.5,40,0.2,5,1,300
manual_252,1923517,5610070,-10,134.49,297.26,780,3.17,54,1,63.7,292.57,0.61,5,1,300
manual_253,1922644,5610150,-10,766.73,610.09,620,2.5,98.2,1,23.3,132.66,0.84,5,0.966,300
manual_254,1921929,5610203,-10,931.86,199.93,1440,4.15,142,1,4,48.99,0.68,5,1,300
manual_255,1921903,5611102,-10,662.57,264.12,1160,5.4,69.9,1,51,233.24,1.36,5,1,300
manual_256,1921453,5610573,-10,948.41,260.88,680,3.4,74,1,45.5,74.83,0.37,5,1,300
manual_257,1920791,5610388,-10,459.49,208.57,920,4.93,45.9,1,50.8,449,4.19,5,1,300
